"Species","Colony_Name","Count_Type","first_year","last_year","n_counts","min_count","max_count","mean_count"
"DCCO","Magdalen Islands, QC","Individuals",1976,2017,6,1962,9176,5131.33333333333
"DCCO","New Brunswick Gulf of St. Lawrence","Individuals",2000,2015,4,7408,21616,14597
"DCCO","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2022,11,452,5489,2564.09090909091
"DCCO","St. Lawrence Estuary (partial), QC","Individuals",1975,2023,7,6172,11990,8126.85714285714
"GBBG","Bay of Fundy, NB","Individuals",1979,2013,3,1186,3628,2064
"GBBG","Bay of Fundy, NS","Individuals",1987,2013,3,2426,9782,5034
"GBBG","Cape Breton, NS","Individuals",1987,2013,2,5440,46934,26187
"GBBG","Gaspe Peninsula, QC","Individuals",1979,2018,6,374,2674,2121
"GBBG","Grand Manan Archipelago, NB","Individuals",1979,2013,3,108,1330,692
"GBBG","Great Island (Witless Bay), NF","Individuals",1976,2012,4,18,160,78.5
"GBBG","Gull Island (Witless Bay), NF","Individuals",1979,2023,5,64,236,161.2
"GBBG","Labrador coast","Individuals",1978,2013,2,3120,3841,3480.5
"GBBG","Magdalen Islands, QC","Individuals",1976,2017,6,949,2423,1589.5
"GBBG","Mainland, NS","Individuals",1987,2013,3,9982,54600,28602.6666666667
"GBBG","New Brunswick Gulf of St. Lawrence","Individuals",1986,2023,6,1048,3082,2214.66666666667
"GBBG","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2022,11,872,2427,1739.81818181818
"GBBG","Prince Edward Island","Individuals",1975,2019,7,504,4648,2096.28571428571
"GBBG","Sable Island, NS","Individuals",1970,2013,4,160,1054,738.5
"GBBG","St. Lawrence Estuary (partial), QC","Individuals",1975,2023,7,770,5242,2324.57142857143
"GLGU","Labrador coast","Individuals",1978,2013,2,2643,7332,4987.5
"GRCO","Gaspe Peninsula, QC","Individuals",1979,2018,6,32,366,224.666666666667
"GRCO","Magdalen Islands, QC","Individuals",1976,2017,6,932,1982,1330.33333333333
"GRCO","NorthShore MB Sanctuaries (n=9)","Individuals",1977,2022,9,44,342,141.777777777778
"HERG","Bay of Fundy, NB","Individuals",1979,2013,3,1918,12750,6537.33333333333
"HERG","Bay of Fundy, NS","Individuals",1987,2013,3,924,5792,3915.33333333333
"HERG","Cape Breton, NS","Individuals",1987,2013,2,1494,17568,9531
"HERG","Gaspe Peninsula, QC","Individuals",1979,2018,6,4360,19584,10289
"HERG","Grand Manan Archipelago, NB","Individuals",1979,2013,3,5946,15018,9559.33333333333
"HERG","Great Island (Witless Bay), NF","Individuals",1976,2012,4,716,5542,3436.5
"HERG","Gull Island (Witless Bay), NF","Individuals",1970,2023,7,2696,7704,5027.14285714286
"HERG","Labrador coast","Individuals",1978,2013,2,4285,6423,5354
"HERG","Magdalen Islands, QC","Individuals",1976,2017,6,538,3428,1819.66666666667
"HERG","Mainland, NS","Individuals",1987,2013,3,7476,43030,21159.3333333333
"HERG","New Brunswick Gulf of St. Lawrence","Individuals",1986,2023,6,2958,11900,6171.66666666667
"HERG","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2022,11,2596,22409,9863.09090909091
"HERG","Pee Pee Island, NF","Individuals",1984,2012,3,124,536,320
"HERG","Prince Edward Island","Individuals",1975,2019,8,1338,14288,4792.5
"HERG","Sable Island, NS","Individuals",1970,2013,4,1146,4050,2196
"HERG","St. Lawrence Estuary (partial), QC","Individuals",1975,2023,7,11478,18434,13916.5714285714
"LESP","Baccalieu Island, NF","Individuals",1984,2023,4,3858182,10243466,6787328.4
"LESP","Bon Portage, NS","Individuals",1978,2017,6,4000,115206,82742.3333333333
"LESP","Coleman Island, NF","Individuals",1979,2018,3,5812,10000,7604
"LESP","Country Island, NS","Individuals",1997,2023,3,58152,76474,68884
"LESP","Great Island (Witless Bay), NF","Individuals",1973,2022,5,268278,694032,436994.8
"LESP","Green Island, Fortune Bay, NF","Individuals",1978,2022,5,89062,207766,134039.6
"LESP","Gull Island (WB), NF","Individuals",1973,2022,7,359484,1060000,633622.571428571
"LESP","Kent Island, NB","Individuals",1966,2018,3,30000,58832,44039.3333333333
"LESP","Little White Island, NS","Individuals",1971,2017,2,5284,11118,8201
"LESP","Machias Seal Island, NB","Individuals",1966,2017,14,40,700,256.714285714286
"LESP","Middle Lawn, NF","Individuals",1974,2016,6,17546,38954,26719.6666666667
"LESP","Small Island, NF","Individuals",1973,2018,5,2076,23876,9234
"LESP","South Penguin Island, NF","Individuals",1979,2018,3,15600,18000,16891.3333333333
"NOFU","Baccalieu Island, NF","Individuals",1976,2012,8,0,40,22
"NOFU","Funk Island, NF","Individuals",1975,2017,38,0,170,59.3157894736842
"NOFU","Gannet Clusters, LB","Individuals",1978,2017,11,0,42,26.5454545454545
"NOFU","Great Island (Witless Bay), NF","Individuals",1973,2015,16,0,96,36.875
"NOFU","Gull Island (Witless Bay), NF","Individuals",1989,2019,23,0,24,7.39130434782609
"NOFU","Outer Gannet Island, LB","Individuals",1972,2015,9,2,62,19.7777777777778
"NOFU","Ship Island, Witless Bay, NF","Individuals",1997,2015,2,20,84,52
"NOGA","Anticosti Island, QC","Individuals",1972,2023,11,134,442,327.272727272727
"NOGA","Baccalieu Island, NF","Individuals",1973,2023,13,882,7950,4237.38461538462
"NOGA","Bird Rocks, QC (Magdalen Is.)","Individuals",1973,2023,21,9684,61162,39108.7619047619
"NOGA","Bonaventure Island, QC (Gaspe Peninsula)","Individuals",1973,2022,20,34562,119172,88339
"NOGA","Cape St. Marys, NF","Individuals",1972,2023,13,9732,29578,20532.6153846154
"NOGA","Funk Island, NF","Individuals",1970,2023,17,5018,21928,14168
"RAZO","Baccalieu Island, NF","Individuals",1982,2012,4,200,812,479
"RAZO","Doughboy, LB","Individuals",1978,2002,2,94,292,193
"RAZO","Gannet Islands, LB","Individuals",1978,2015,6,5056,15582,8917.33333333333
"RAZO","Gaspe Peninsula, QC","Individuals",1979,2018,6,352,4055,2308.66666666667
"RAZO","Great Island (Witless Bay), NF","Individuals",1972,2015,9,140,536,322.444444444444
"RAZO","Gull Island (Witless Bay), NF","Individuals",1971,2019,23,60,1278,539.333333333333
"RAZO","Herring Islands, LB","Individuals",1978,2010,3,2500,5738,3882
"RAZO","Machias Seal Island, NB","Individuals",1971,2019,13,80,6580,1957.38461538462
"RAZO","Magdalen Islands, QC","Individuals",2000,2017,4,3018,5150,3773.5
"RAZO","North Green, LB","Individuals",1978,2010,3,700,1976,1144
"RAZO","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2022,11,2952,60673,20599.6363636364
"RAZO","Small Island, NF","Individuals",1984,2018,3,30,5514,2030
"RAZO","St. Lawrence Estuary (partial), QC","Individuals",1975,2023,7,2454,10280,6540
"RAZO","Tinker, LB","Individuals",1978,2010,3,22,328,225.333333333333
"RAZO","Twin East, LB","Individuals",1978,2010,2,0,588,294
"RAZO","Twin West, LB","Individuals",1978,2010,2,0,602,301
"RBGU","Gaspe Peninsula, QC","Individuals",1979,2018,6,0,4522,2743
"RBGU","Labrador coast","Individuals",1978,2013,2,175,495,335
"RBGU","New Brunswick Gulf of St. Lawrence","Individuals",1986,2023,6,3848,9702,6377
"RBGU","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2022,11,104,1893,674.636363636364
"RBGU","Prince Edward Island","Individuals",1975,2019,8,10,1382,527.25
"RBGU","St. Lawrence River and Estuary, QC","Individuals",1971,2023,12,2200,249972,165714
"ROST","Bassin Island","Individuals",2017,2017,1,2,2,2
"ROST","Bear Point Thrums Barrington","Individuals",2018,2018,1,6,6,6
"ROST","Chenal Island","Individuals",2009,2013,4,2,2,2
"ROST","Chesapeake Island","Individuals",1996,1996,1,4,4,4
"ROST","Country Island","Individuals",1995,2023,29,NA,NA,NA
"ROST","Deuxième Îlet","Individuals",1995,2007,3,2,2,2
"ROST","Duck Island","Individuals",2007,2007,1,2,2,2
"ROST","Grassy Island","Individuals",1995,1995,1,60,60,60
"ROST","Gull Island, Lobster Bay","Individuals",2017,2018,2,10,70,40
"ROST","Hughes Island","Individuals",1999,1999,1,14,14,14
"ROST","MacDonald Point","Individuals",1999,1999,1,8,8,8
"ROST","Machias Seal Island","Individuals",1995,1996,2,4,4,4
"ROST","Magdalen Islands","Individuals",2022,2022,1,NA,NA,NA
"ROST","Mash Island","Individuals",1999,1999,1,30,30,30
"ROST","McNutt's Island","Individuals",1999,1999,1,2,2,2
"ROST","Neil's Island","Individuals",1999,1999,1,8,8,8
"ROST","Pearl Island","Individuals",2007,2007,1,12,12,12
"ROST","Peases Island","Individuals",2018,2018,1,6,6,6
"ROST","Peter Island","Individuals",1995,1999,2,2,4,3
"ROST","Pinch Gut Lobster Bay","Individuals",2018,2018,1,2,2,2
"ROST","Pointe-de-l'Est","Individuals",2006,2007,2,2,2,2
"ROST","Sable Island","Individuals",1995,2022,19,NA,NA,NA
"ROST","Salmon Island","Individuals",1999,1999,1,32,32,32
"ROST","The Brothers Islands","Individuals",1995,2023,29,52,180,106.689655172414
"ROST","The Cape, Cape Sable Island","Individuals",2022,2022,1,12,12,12
"ROST","Toby Island","Individuals",2016,2018,3,2,2,2
"ROST","Travers Island","Individuals",2004,2004,1,2,2,2
"ROST","Unnamed island S of Cooks Island","Individuals",2016,2016,1,2,2,2
"ROST","Western Island","Individuals",2015,2015,1,12,12,12
"ROST","Île Paquet","Individuals",1995,1996,2,2,2,2
"RTLO","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2022,11,42,102,72.5454545454545
"TBMU","Gannet Clusters, LB","Individuals",1978,2015,6,1322,4050,2464.66666666667
"TBMU","Herring Islands, LB","Individuals",1978,2010,3,433,926,671.333333333333
"TBMU","Kidlit Islands, LB","Individuals",1978,2009,2,2292,4300,3296
"TBMU","Outer Gannet, LB","Individuals",1978,2015,5,228,1120,731.2
"TBMU","Quaker Hat, LB","Individuals",1978,2010,3,156,319,218
